request,Filing_Jurisdiction:token,Filing_Jurisdiction:id,Filing_Jurisdiction,Filing_Year:token,Filing_Year:id,Filing_Year,Spender_Business_Classification:token,Spender_Business_Classification:id,Spender_Business_Classification,Spender_Industry:token,Spender_Industry:id,Spender_Industry,Spender_Sector:token,Spender_Sector:id,Spender_Sector,#_of_Records,Total_$
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2013&lby-f-ccb=192",lby-s,TX,TX,lby-y,2013,2013,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",41,1055000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2017&lby-f-ccb=288",lby-s,TX,TX,lby-y,2017,2017,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",37,1015008.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2013&lby-f-ccb=192",lby-s,FL,FL,lby-y,2013,2013,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",103,1010000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=CA&lby-y=2014&lby-f-ccb=192",lby-s,CA,CA,lby-y,2014,2014,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",147,992291.15
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2013&lby-f-ccb=256",lby-s,NJ,NJ,lby-y,2013,2013,lby-f-ccb,256,"Limited Government",lby-f-cci,73,"Conservative Policy Organization",lby-f-ccg,10,"Ideology/Single Issue",7,951233.30
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=CA&lby-y=2017&lby-f-ccb=192",lby-s,CA,CA,lby-y,2017,2017,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",141,949877.41
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2014&lby-f-ccb=192",lby-s,FL,FL,lby-y,2014,2014,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",103,930000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2017&lby-f-ccb=288",lby-s,MA,MA,lby-y,2017,2017,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",91,929781.70
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2013&lby-f-ccb=288",lby-s,TX,TX,lby-y,2013,2013,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",55,920000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2013&lby-f-ccb=185",lby-s,FL,FL,lby-y,2013,2013,lby-f-ccb,185,"Business services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",54,915000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=CA&lby-y=2018&lby-f-ccb=192",lby-s,CA,CA,lby-y,2018,2018,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",156,902357.63
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2015&lby-f-ccb=288",lby-s,TX,TX,lby-y,2015,2015,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",44,895000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2016&lby-f-ccb=288",lby-s,FL,FL,lby-y,2016,2016,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",170,890000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2017&lby-f-ccb=192",lby-s,FL,FL,lby-y,2017,2017,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",84,890000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2018&lby-f-ccb=288",lby-s,TX,TX,lby-y,2018,2018,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",22,880004.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2018&lby-f-ccb=288",lby-s,FL,FL,lby-y,2018,2018,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",143,877000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2015&lby-f-ccb=288",lby-s,FL,FL,lby-y,2015,2015,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",146,870000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2018&lby-f-ccb=288",lby-s,MA,MA,lby-y,2018,2018,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",82,838043.16
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2017&lby-f-ccb=288",lby-s,FL,FL,lby-y,2017,2017,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",168,820000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2014&lby-f-ccb=192",lby-s,NJ,NJ,lby-y,2014,2014,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",40,814534.51
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2014&lby-f-ccb=288",lby-s,FL,FL,lby-y,2014,2014,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",135,770000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2014&lby-f-ccb=288",lby-s,TX,TX,lby-y,2014,2014,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",41,745000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=CA&lby-y=2013&lby-f-ccb=192",lby-s,CA,CA,lby-y,2013,2013,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",32,742625.73
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2015&lby-f-ccb=192",lby-s,TX,TX,lby-y,2015,2015,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",41,710000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2016&lby-f-ccb=192",lby-s,TX,TX,lby-y,2016,2016,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",43,705011.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2017&lby-f-ccb=192",lby-s,TX,TX,lby-y,2017,2017,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",36,690007.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2016&lby-f-ccb=288",lby-s,NY,NY,lby-y,2016,2016,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",309,686076.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2017&lby-f-ccb=256",lby-s,NY,NY,lby-y,2017,2017,lby-f-ccb,256,"Limited Government",lby-f-cci,73,"Conservative Policy Organization",lby-f-ccg,10,"Ideology/Single Issue",32,684333.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2013&lby-f-ccb=192",lby-s,NJ,NJ,lby-y,2013,2013,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",35,660375.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2014&lby-f-ccb=288",lby-s,NY,NY,lby-y,2014,2014,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",210,658060.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2013&lby-f-ccb=288",lby-s,NY,NY,lby-y,2013,2013,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",207,638853.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=WI&lby-y=2013&lby-f-ccb=288",lby-s,WI,WI,lby-y,2013,2013,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",24,628877.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2016&lby-f-ccb=192",lby-s,NJ,NJ,lby-y,2016,2016,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",32,613925.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2018&lby-f-ccb=188",lby-s,NY,NY,lby-y,2018,2018,lby-f-ccb,188,"Outdoor advertising services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",62,598215.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2018&lby-f-ccb=192",lby-s,TX,TX,lby-y,2018,2018,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",27,570008.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2016&lby-f-ccb=288",lby-s,MA,MA,lby-y,2016,2016,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",62,538583.64
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=TX&lby-y=2014&lby-f-ccb=192",lby-s,TX,TX,lby-y,2014,2014,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",28,530000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2015&lby-f-ccb=192",lby-s,NJ,NJ,lby-y,2015,2015,lby-f-ccb,192,"Management consultants & services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",32,529308.23
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=WI&lby-y=2015&lby-f-ccb=288",lby-s,WI,WI,lby-y,2015,2015,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",22,527919.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2015&lby-f-ccb=288",lby-s,MA,MA,lby-y,2015,2015,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",121,525889.87
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=WI&lby-y=2014&lby-f-ccb=288",lby-s,WI,WI,lby-y,2014,2014,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",24,515042.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=WI&lby-y=2017&lby-f-ccb=256",lby-s,WI,WI,lby-y,2017,2017,lby-f-ccb,256,"Limited Government",lby-f-cci,73,"Conservative Policy Organization",lby-f-ccg,10,"Ideology/Single Issue",2,508321.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=FL&lby-y=2014&lby-f-ccb=185",lby-s,FL,FL,lby-y,2014,2014,lby-f-ccb,185,"Business services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",60,505000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NJ&lby-y=2018&lby-f-ccb=258",lby-s,NJ,NJ,lby-y,2018,2018,lby-f-ccb,258,"Democratic-based groups (but not official party committees) and generic liberal/progressive ones",lby-f-cci,74,"Liberal Policy Organization",lby-f-ccg,10,"Ideology/Single Issue",8,503750.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=WA&lby-y=2018&lby-f-ccb=288",lby-s,WA,WA,lby-y,2018,2018,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",192,503030.18
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2018&lby-f-ccb=186",lby-s,NY,NY,lby-y,2018,2018,lby-f-ccb,186,"Advertising & public relations services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",50,500000.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=CT&lby-y=2018&lby-f-ccb=288",lby-s,CT,CT,lby-y,2018,2018,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",54,495678.05
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2014&lby-f-ccb=188",lby-s,NY,NY,lby-y,2014,2014,lby-f-ccb,188,"Outdoor advertising services",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",56,494101.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=NY&lby-y=2015&lby-f-ccb=288",lby-s,NY,NY,lby-y,2015,2015,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",318,490185.00
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2014&lby-f-ccb=288",lby-s,MA,MA,lby-y,2014,2014,lby-f-ccb,288,"Health & welfare policy",lby-f-cci,96,"Health & Welfare Policy",lby-f-ccg,10,"Ideology/Single Issue",29,481918.54
"dt=3&lby-y=2018,2017,2016,2015,2014,2013&lby-f-fc=2&lby-f-cci=61,73,150,96,74&lby-s=MA&lby-y=2015&lby-f-ccb=190",lby-s,MA,MA,lby-y,2015,2015,lby-f-ccb,190,"Employment agencies",lby-f-cci,61,"Business Services",lby-f-ccg,7,"General Business",91,439405.25
